Arist(s) Name,Track Name,Album Name,SpotifyID,Release Date,url,type,top,center,bottom
Taylor Swift , Tim McGraw , Taylor Swift (Deluxe Edition) , 2Fn01AIMyHbha2ceNQeOqw , 2006-10-24,spotify:track:2Fn01AIMyHbha2ceNQeOqw,Taylor Swift (Deluxe Edition),Tim McGraw,24/10/2006,Taylor Swift (Deluxe Edition)
Taylor Swift , Picture To Burn , Taylor Swift (Deluxe Edition) , 4BYejINgfZF0qKDMEH2cim , 2006-10-24,spotify:track:4BYejINgfZF0qKDMEH2cim,Taylor Swift (Deluxe Edition),Picture To Burn,24/10/2006,Taylor Swift (Deluxe Edition)
Taylor Swift , Teardrops On My Guitar - Radio Single Remix , Taylor Swift (Deluxe Edition) , 2TF4UtYreqNbQ6Z9AccldU , 2006-10-24,spotify:track:2TF4UtYreqNbQ6Z9AccldU,Taylor Swift (Deluxe Edition),Teardrops On My Guitar - Radio Single Remix,24/10/2006,Taylor Swift (Deluxe Edition)
Taylor Swift , A Place in this World , Taylor Swift (Deluxe Edition) , 1oR4MUBpyNrAViC8wPNpfm , 2006-10-24,spotify:track:1oR4MUBpyNrAViC8wPNpfm,Taylor Swift (Deluxe Edition),A Place in this World,24/10/2006,Taylor Swift (Deluxe Edition)
Taylor Swift , Cold As You , Taylor Swift (Deluxe Edition) , 569sXXQ7t0jSdqHooi2yqs , 2006-10-24,spotify:track:569sXXQ7t0jSdqHooi2yqs,Taylor Swift (Deluxe Edition),Cold As You,24/10/2006,Taylor Swift (Deluxe Edition)
Taylor Swift , The Outside , Taylor Swift (Deluxe Edition) , 5Tj2MqcFMf60CaGsKbM1aq , 2006-10-24,spotify:track:5Tj2MqcFMf60CaGsKbM1aq,Taylor Swift (Deluxe Edition),The Outside,24/10/2006,Taylor Swift (Deluxe Edition)
Taylor Swift , Tied Together with a Smile , Taylor Swift (Deluxe Edition) , 2zzxwmoOBnXDT0KnJsoIWk , 2006-10-24,spotify:track:2zzxwmoOBnXDT0KnJsoIWk,Taylor Swift (Deluxe Edition),Tied Together with a Smile,24/10/2006,Taylor Swift (Deluxe Edition)
Taylor Swift , Stay Beautiful , Taylor Swift (Deluxe Edition) , 41sjzdjScVwnxnxADElts6 , 2006-10-24,spotify:track:41sjzdjScVwnxnxADElts6,Taylor Swift (Deluxe Edition),Stay Beautiful,24/10/2006,Taylor Swift (Deluxe Edition)
Taylor Swift , Should've Said No , Taylor Swift (Deluxe Edition) , 6CdaXOq1MWe2JHDalTG01d , 2006-10-24,spotify:track:6CdaXOq1MWe2JHDalTG01d,Taylor Swift (Deluxe Edition),Should've Said No,24/10/2006,Taylor Swift (Deluxe Edition)
Taylor Swift , Mary's Song (Oh My My My) , Taylor Swift (Deluxe Edition) , 2O8sogKJCfVZ4rotBv1vVF , 2006-10-24,spotify:track:2O8sogKJCfVZ4rotBv1vVF,Taylor Swift (Deluxe Edition),Mary's Song (Oh My My My),24/10/2006,Taylor Swift (Deluxe Edition)
